       FUNCTION                                                     SCORE    LoC   ULoC    CC    DE   DFC   LOCATION
 249   vici_dispatcher_create                                        0.04     23     -      4     6     0   src/libcharon/plugins/vici/vici_dispatcher.c:547
 250   is_asn1                                                       0.04     59     -     19     3     0   src/libstrongswan/asn1/asn1.c:686
 251   strreplace                                                    0.03     39     -     13     2     2   src/libstrongswan/utils/utils/string.c:45
 252   array_create_enumerator                                       0.03     12     -      3     6     0   src/libstrongswan/collections/array.c:253
 253   ike_reauth_create                                             0.03     17     -      3     6     0   src/libcharon/sa/ikev2/tasks/ike_reauth.c:92
 254   mutex_create                                                  0.03     19     -      3     6     0   src/libstrongswan/threading/mutex.c:173
 255   message_create                                                0.03     15     -      3     6     0   src/libcharon/encoding/message.c:3227
 256   main_mode_create                                              0.03     17     -      3     6     0   src/libcharon/sa/ikev1/tasks/main_mode.c:822
 257   aggressive_mode_create                                        0.03     17     -      3     6     0   src/libcharon/sa/ikev1/tasks/aggressive_mode.c:753
 258   id_payload_create_from_ts                                     0.03     56     -     13     3     1   src/libcharon/encoding/payloads/id_payload.c:400
 259   chunk_split                                                   0.03     63     -     18     2     1   src/libstrongswan/utils/chunk.c:135
 260   keymat_v1_create                                              0.03     14     -      3     6     0   src/libcharon/sa/ikev1/keymat_v1.c:951
 261   openssl_bn2chunk                                              0.03     16     -      7     5     0   src/libstrongswan/plugins/openssl/openssl_util.c:200
 262   path_basename                                                 0.03     33     -     17     3     0   src/libstrongswan/utils/utils/path.c:114
 263   crypto_tester_create                                          0.03     10     -      2     6     0   src/libstrongswan/crypto/crypto_tester.c:1907
 264   message_create_from_packet                                    0.03     10     -      2     6     0   src/libcharon/encoding/message.c:3163
